data;periodo;horario;faixa_horaria;bairro_origem;regional_origem;bairro_destino;valor_corrida;distancia_km;faixa_distancia
02/03/2026;manhã;07:34;07h;Guaíra;Portão;Jardim das Américas;35,3;6,3;Longa
02/03/2026;manhã;08:13;08h;Cajuru;Cajuru;Juvevê;21,9;8,6;Longa
02/03/2026;manhã;08:53;08h;Juvevê;Matriz;Santa Cândida;14,14;5,7;Longa
02/03/2026;manhã;09:07;09h;Boa Vista;Boa Vista;Cabral;12,2;4,4;Longa
02/03/2026;manhã;09:29;09h;Ahú;Matriz;São Francisco;9,8;3,6;Média
02/03/2026;manhã;08:04;08h;Cajuru;Cajuru;Cajuru;7,1;1,2;Curta
02/03/2026;manhã;09:50;09h;Centro;Matriz;Centro;6,6;1,3;Curta
02/03/2026;manhã;09:41;09h;São Francisco;Matriz;Centro;6,6;1,8;Curta
02/03/2026;manhã;09:25;09h;Cabral;Matriz;Ahú;6,5;1;Curta
03/03/2026;manhã;07:30;07h;Fanny;Portão;Centro;30,7;8,2;Longa
03/03/2026;manhã;08:59;08h;Boqueirão;Boqueirão;Parolin;12,1;4,8;Longa
03/03/2026;manhã;08:00;08h;Centro;Matriz;Guabirotuba;11,2;5,3;Longa
03/03/2026;manhã;08:54;08h;Fanny;Portão;Hauer;7,4;1,9;Curta
03/03/2026;manhã;08:21;08h;Guabirotuba;Cajuru;Hauer;6,9;2,1;Média
03/03/2026;manhã;09:51;09h;Água Verde;Portão;Rebouças;6,6;1,7;Curta
03/03/2026;manhã;09:18;09h;Parolin;Portão;Parolin;6,5;0,5;Curta
03/03/2026;manhã;09:26;09h;Parolin;Portão;Água Verde;6,5;3,1;Média
04/03/2026;manhã;07:49;07h;Vila Izabel;Portão;Seminário;12,4;2,2;Média
04/03/2026;manhã;07:33;07h;Vila Izabel;Portão;Mercês;7,9;1,3;Curta
04/03/2026;manhã;08:51;08h;Centro;Matriz;Seminário;7,4;2;Curta
04/03/2026;manhã;08:23;08h;Santa Quitéria;Portão;Seminário;6,9;1,9;Curta
04/03/2026;manhã;08:05;08h;Água Verde;Portão;Batel;6,8;2,1;Média
04/03/2026;manhã;08:37;08h;Batel;Matriz;Boqueirão;6,5;2,3;Média
05/03/2026;manhã;07:44;07h;Centro;Matriz;Água Verde;19,4;8,3;Longa
05/03/2026;manhã;08:12;08h;Boqueirão;Boqueirão;Portão;16,4;9,6;Longa
05/03/2026;manhã;09:17;09h;Vila Izabel;Portão;Vila Izabel;10,7;1,4;Curta
05/03/2026;manhã;09:41;09h;Lindóia;Portão;Guaíra;9,7;3,6;Média
05/03/2026;manhã;09:26;09h;Portão;Portão;Batel;7,3;2,1;Média
05/03/2026;manhã;08:47;08h;Vila Izabel;Portão;Vila Izabel;6,6;1,9;Curta
05/03/2026;manhã;08:43;08h;Água Verde;Portão;Água Verde;6,5;1,4;Curta
06/03/2026;manhã;07:29;07h;Lindóia;Portão;Vila Izabel;17;4,6;Longa
06/03/2026;manhã;07:50;07h;Água Verde;Portão;Portão;12,5;2,2;Média
06/03/2026;manhã;08:03;08h;Água Verde;Portão;Parolin;10,7;4,2;Longa
